Id,SalePrice
1461,119988.3186776713
1462,153492.4679269285
1463,185186.1226552899
1464,196181.7423595388
1465,192163.0899327398
1466,173322.8962081079
1467,175385.2948302463
1468,166092.6918464589
1469,186025.2640868095
1470,123285.915636409
1471,197534.2687589259
1472,90859.4636894908
1473,92515.2899181439
1474,143284.3905826204
1475,108039.869750329
1476,368538.4441497971
1477,253536.7509580492
1478,281298.1338452687
1479,292940.633867725
1480,462645.8874250598
1481,310983.8053792744
1482,208597.6506246813
1483,178398.0697228299
1484,165516.9152840812
1485,184835.4891788485
1486,198428.8932466352
1487,333307.8513315899
1488,233320.3670714472
1489,205134.4264193966
1490,236972.886063536
1491,190626.1747364329
1492,88595.72199401232
1493,181776.0162001289
1494,297590.6244328044
1495,284915.3835138247
1496,238401.1532590947
1497,180571.849242136
1498,162036.1971203846
1499,158050.3737815616
1500,156427.3066295038
1501,173758.011999331
1502,144974.455960794
1503,278861.8094610953
1504,235607.8950415602
1505,221931.2615179601
1506,185450.7562437189
1507,251282.2295512678
1508,205257.3727692991
1509,159449.3115059355
1510,144489.6493485044
1511,145806.2388237144
1512,175796.3618013671
1513,140325.5540774983
1514,161090.0109982239
1515,201371.9221554975
1516,155011.2082862758
1517,167584.453247002
1518,134383.3415459755
1519,224282.4783389112
1520,132984.5248296766
1521,132829.8091946896
1522,177220.8286736028
1523,111878.2833941624
1524,122770.2615512086
1525,119444.139409298
1526,115864.6575573537
1527,104832.2960607063
1528,139242.0550582564
1529,147189.3507441357
1530,175010.1002695033
1531,110780.1951769109
1532,94720.16048787735
1533,145040.8049046841
1534,125739.2975687855
1535,154134.6377916073
1536,108737.2220561883
1537,70395.26768291646
1538,148530.3802636592
1539,192757.4363962564
1540,98448.88455582345
1541,144064.6978609294
1542,139194.7996432087
1543,197099.1630277635
1544,81258.95960524144
1545,112632.7314505302
1546,131829.1034909243
1547,135088.8633768275
1548,138768.5268583116
1549,114593.4595089927
1550,138399.7937563792
1551,109857.2928242262
1552,134812.1323355154
1553,152610.0825274174
1554,112209.8323465856
1555,162126.8185137468
1556,88124.55020602235
1557,107230.0877921595
1558,100522.1764467175
1559,74960.44932441553
1560,135569.3314454503
1561,130309.9148690368
1562,129559.1102542317
1563,120645.8469584654
1564,161314.6969139933
1565,143936.1162195107
1566,238305.4533634855
1567,74622.27167473744
1568,232307.135738716
1569,139172.2756760874
1570,133881.3925243389
1571,116856.4779357369
1572,145418.3218141292
1573,242074.3998997969
1574,116103.8595150341
1575,223378.9479314843
1576,248176.029959323
1577,192461.1475175091
1578,149533.4468711148
1579,142730.7043045277
1580,192830.1723646074
1581,151631.514875789
1582,124834.543001374
1583,304732.1016004774
1584,221390.906645297
1585,139470.2185396131
1586,65645.82112103468
1587,97858.49545893449
1588,147422.1386742957
1589,103099.9988426007
1590,135006.7144943631
1591,91644.63505326126
1592,123436.3800361885
1593,126694.9683011372
1594,131848.3149283178
1595,113765.3064910232
1596,221448.0542730135
1597,193675.8431477336
1598,205895.0029715256
1599,163516.981345048
1600,164223.0217838846
1601,64888.53170905154
1602,116614.4221227454
1603,73833.99534157047
1604,255409.784328847
1605,240688.5575918165
1606,166602.5580933165
1607,169822.063957053
1608,217014.8800388805
1609,190627.3410482361
1610,151414.0673234382
1611,140816.7492879868
1612,176947.4501574127
1613,166328.5350008126
1614,121700.4466776437
1615,89023.26495994978
1616,72180.6605528851
1617,88758.59348257458
1618,122432.4492536062
1619,141443.037595091
1620,163485.149039583
1621,141095.7700630687
1622,138304.0311991083
1623,264565.2476080633
1624,214492.2900958817
1625,121310.3603144408
1626,170871.9985378472
1627,190459.4562412336
1628,274621.1750578477
1629,178232.9140031164
1630,338076.2010861899
1631,214163.1612434216
1632,235708.3114869724
1633,171445.4030294117
1634,185416.7443319095
